sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
83,kaggle_provenance_tests,python3 -m pytest -q tests/test_v9_execution_supercharger.py tests/test_v7_runledger.py,.,2026-07-20T18:57:12.877695Z,2026-07-20T18:57:13.525020Z,0.647259,0,reports/phase1_command_logs/0083_kaggle_provenance_tests.stdout.log,reports/phase1_command_logs/0083_kaggle_provenance_tests.stderr.log,PASS,,,
84,ruff,python3 -m ruff check certgen scripts tests,.,2026-07-20T18:57:18.869107Z,2026-07-20T18:57:18.928053Z,0.058881,1,reports/phase1_command_logs/0084_ruff.stdout.log,reports/phase1_command_logs/0084_ruff.stderr.log,FAIL,,,
85,ruff,python3 -m ruff check certgen scripts tests,.,2026-07-20T18:57:35.912984Z,2026-07-20T18:57:35.968438Z,0.055396,0,reports/phase1_command_logs/0085_ruff.stdout.log,reports/phase1_command_logs/0085_ruff.stderr.log,PASS,,,
86,mypy_discovery,rg -n 'mypy.*error|Full mypy|mypy debt|Found [0-9]+ errors' reports CERTGEN_CVPR_100_PERCENT_PRE_RUN_EXECUTION_HANDBOOK.md CERTGEN_CVPR_100_PERCENT_PRE_RUN_READINESS_REPORT.md CERTGEN_CVPR_COMPLETE_EXECUTION_AND_RUN_HANDBOOK.md CERTGEN_CVPR_FINAL_EXECUTION_HANDBOOK.md CERTGEN_CVPR_FINAL_RUNTIME_HARDENING_REPORT.md CERTGEN_CVPR_FINAL_RUN_READY_CLOSURE_REPORT.md CERTGEN_CVPR_FINAL_RUN_READY_EXECUTION_HANDBOOK.md CERTGEN_CVPR_MAX_PREEXECUTION_BUILD_REPORT.md CERTGEN_CVPR_REAL_EXECUTION_CLOSURE_REPORT.md CERTGEN_CVPR_RUN_READY_EXECUTION_HANDBOOK.md CERTGEN_FORENSIC_AUDIT_AND_MAXIMUM_CEILING_REPORT.md CERTGEN_MAX_CEILING_EXECUTION_HANDBOOK.md CERTGEN_MAX_CEILING_PRE_RUN_READINESS_REPORT.md CERTGEN_MAX_CEILING_SINGLE_FILE_HANDOFF.md CERTGEN_POST_CACHE_FINAL_FIX_REPORT.md docs,.,2026-07-20T18:57:41.976861Z,2026-07-20T18:57:41.991039Z,0.014127,0,reports/phase1_command_logs/0086_mypy_discovery.stdout.log,reports/phase1_command_logs/0086_mypy_discovery.stderr.log,PASS,,,
87,critical_mypy,python3 -m mypy --no-incremental certgen/phase1 scripts/run_all_available_cpu_stages.py scripts/phase1_command_runner.py certgen/notebooks/workers/diagnostic_worker.py,.,2026-07-20T18:57:47.957938Z,2026-07-20T18:58:10.308920Z,22.350932,1,reports/phase1_command_logs/0087_critical_mypy.stdout.log,reports/phase1_command_logs/0087_critical_mypy.stderr.log,FAIL,,,
88,critical_mypy,python3 -m mypy --no-incremental --follow-imports=skip certgen/phase1 scripts/run_all_available_cpu_stages.py scripts/phase1_command_runner.py certgen/notebooks/workers/diagnostic_worker.py,.,2026-07-20T18:58:22.524646Z,2026-07-20T18:58:22.978959Z,0.454247,0,reports/phase1_command_logs/0088_critical_mypy.stdout.log,reports/phase1_command_logs/0088_critical_mypy.stderr.log,PASS,,,
89,full_mypy_debt,python3 -m mypy --no-incremental certgen,.,2026-07-20T18:58:38.305340Z,2026-07-20T18:59:00.051758Z,21.746362,1,reports/phase1_command_logs/0089_full_mypy_debt.stdout.log,reports/phase1_command_logs/0089_full_mypy_debt.stderr.log,EXPECTED_BOUNDARY,,historical baseline: 111 errors in 34 files,
90,audit_discovery,rg -n 'privacy|restricted.asset|release scan|paper compilation|latexmk|pdflatex|paper firewall|final.pre.run|maximum.ceiling' README.md Makefile pyproject.toml scripts commands reports/CERTGEN_FINAL_HARDENING_COMMAND_LEDGER.csv reports/CERTGEN_FINAL_100_PERCENT_COMMAND_LEDGER.csv,.,2026-07-20T18:59:11.309091Z,2026-07-20T18:59:11.323145Z,0.014003,2,reports/phase1_command_logs/0090_audit_discovery.stdout.log,reports/phase1_command_logs/0090_audit_discovery.stderr.log,FAIL,,,
91,audit_discovery,"sed -n 1,260p certgen/release/privacy_scan.py",.,2026-07-20T18:59:21.857841Z,2026-07-20T18:59:21.860079Z,0.002188,0,reports/phase1_command_logs/0091_audit_discovery.stdout.log,reports/phase1_command_logs/0091_audit_discovery.stderr.log,PASS,,,
92,paper_firewall,python3 -m certgen audit paper --explain --json,.,2026-07-20T18:59:37.150015Z,2026-07-20T18:59:37.292312Z,0.142220,0,reports/phase1_command_logs/0092_paper_firewall.stdout.log,reports/phase1_command_logs/0092_paper_firewall.stderr.log,PASS,,,
93,privacy_scan,python3 -c 'from certgen.release.privacy_scan import scan_privacy; issues=scan_privacy(); print(issues); raise SystemExit(bool(issues))',.,2026-07-20T18:59:37.390585Z,2026-07-20T18:59:37.462981Z,0.072329,0,reports/phase1_command_logs/0093_privacy_scan.stdout.log,reports/phase1_command_logs/0093_privacy_scan.stderr.log,PASS,,,
94,restricted_asset_scan,"python3 -c 'from pathlib import Path; suffixes={"".pt"","".pth"","".bin"","".safetensors"","".ckpt"","".onnx""}; roots=[Path(""artifacts/cvpr/kaggle_inputs""),Path(""release""),Path(""dist"")]; hits=[str(p) for r in roots if r.exists() for p in r.rglob(""*"") if p.is_file() and p.suffix.lower() in suffixes]; print(hits); raise SystemExit(bool(hits))'",.,2026-07-20T18:59:37.558868Z,2026-07-20T18:59:37.611978Z,0.053046,0,reports/phase1_command_logs/0094_restricted_asset_scan.stdout.log,reports/phase1_command_logs/0094_restricted_asset_scan.stderr.log,PASS,,,
95,release_scan,python3 -m certgen.audit.release_safety_v5 --out /tmp/certgen_phase1_release_safety.md --json-out /tmp/certgen_phase1_release_safety.json,.,2026-07-20T18:59:37.730946Z,2026-07-20T18:59:37.864384Z,0.133373,0,reports/phase1_command_logs/0095_release_scan.stdout.log,reports/phase1_command_logs/0095_release_scan.stderr.log,PASS,,,
96,paper_compile,mkdir -p /tmp/certgen_phase1_paper,.,2026-07-20T18:59:45.101622Z,2026-07-20T18:59:45.105284Z,0.003601,0,reports/phase1_command_logs/0096_paper_compile.stdout.log,reports/phase1_command_logs/0096_paper_compile.stderr.log,PASS,,,
97,paper_compile,pdflatex -interaction=nonstopmode -halt-on-error -output-directory=/tmp/certgen_phase1_paper main.tex,paper,2026-07-20T18:59:45.217063Z,2026-07-20T18:59:45.423364Z,0.206249,0,reports/phase1_command_logs/0097_paper_compile.stdout.log,reports/phase1_command_logs/0097_paper_compile.stderr.log,PASS,,,
98,paper_compile,pdflatex -interaction=nonstopmode -halt-on-error -output-directory=/tmp/certgen_phase1_paper main.tex,paper,2026-07-20T18:59:45.513621Z,2026-07-20T18:59:45.620231Z,0.106552,0,reports/phase1_command_logs/0098_paper_compile.stdout.log,reports/phase1_command_logs/0098_paper_compile.stderr.log,PASS,,,
