sequence,stage,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
54,notebook_generate_final,python3 -m certgen notebooks generate --json,.,2026-07-21T09:33:31.185360Z,2026-07-21T09:33:31.301446Z,0.115987,0,reports/execution_command_logs/0054_notebook_generate_final.stdout.log,reports/execution_command_logs/0054_notebook_generate_final.stderr.log,PASS,,,
55,notebook_determinism_final,python3 -m certgen notebooks check-determinism --json,.,2026-07-21T09:33:31.371741Z,2026-07-21T09:33:31.488489Z,0.116643,0,reports/execution_command_logs/0055_notebook_determinism_final.stdout.log,reports/execution_command_logs/0055_notebook_determinism_final.stderr.log,PASS,,,
56,integration_audits_final,python3 -m pytest -q -m integration,.,2026-07-21T09:33:37.334008Z,2026-07-21T09:33:37.981997Z,0.647874,5,reports/execution_command_logs/0056_integration_audits_final.stdout.log,reports/execution_command_logs/0056_integration_audits_final.stderr.log,FAIL,,,
57,integration_audits_final_correct_marker,python3 -m pytest -q -m integration_audit,.,2026-07-21T09:33:52.750200Z,2026-07-21T09:34:36.891896Z,44.141346,0,reports/execution_command_logs/0057_integration_audits_final_correct_marker.stdout.log,reports/execution_command_logs/0057_integration_audits_final_correct_marker.stderr.log,PASS,,,
58,full_pytest_final_verified,python3 -m pytest -q,.,2026-07-21T09:34:46.276364Z,2026-07-21T09:34:57.171625Z,10.895090,0,reports/execution_command_logs/0058_full_pytest_final_verified.stdout.log,reports/execution_command_logs/0058_full_pytest_final_verified.stderr.log,PASS,,,
59,privacy_scan_final,"python3 -c 'from certgen.release.privacy_scan import scan_privacy; issues=scan_privacy(); print({""passed"": not issues, ""issues"": issues}); raise SystemExit(bool(issues))'",.,2026-07-21T09:35:33.363547Z,2026-07-21T09:35:33.419186Z,0.055533,0,reports/execution_command_logs/0059_privacy_scan_final.stdout.log,reports/execution_command_logs/0059_privacy_scan_final.stderr.log,PASS,,,
60,release_safety_scan_final,python3 -m certgen.audit.release_safety_v5,.,2026-07-21T09:35:33.489065Z,2026-07-21T09:35:33.607655Z,0.118473,0,reports/execution_command_logs/0060_release_safety_scan_final.stdout.log,reports/execution_command_logs/0060_release_safety_scan_final.stderr.log,PASS,,,
61,audit_paper_final,python3 -m certgen audit paper --json,.,2026-07-21T09:35:44.452652Z,2026-07-21T09:35:44.567024Z,0.114270,0,reports/execution_command_logs/0061_audit_paper_final.stdout.log,reports/execution_command_logs/0061_audit_paper_final.stderr.log,PASS,,,
62,audit_artifact_registry_final,python3 -m certgen audit artifact-registry --json,.,2026-07-21T09:35:44.636790Z,2026-07-21T09:35:44.746138Z,0.109243,0,reports/execution_command_logs/0062_audit_artifact_registry_final.stdout.log,reports/execution_command_logs/0062_audit_artifact_registry_final.stderr.log,PASS,,,
63,audit_registries_final,python3 -m certgen audit registries --json,.,2026-07-21T09:35:44.815425Z,2026-07-21T09:35:44.942618Z,0.127095,0,reports/execution_command_logs/0063_audit_registries_final.stdout.log,reports/execution_command_logs/0063_audit_registries_final.stderr.log,PASS,,,
64,audit_cvpr_final,python3 -m certgen audit cvpr --json,.,2026-07-21T09:35:45.011910Z,2026-07-21T09:35:45.193204Z,0.181185,2,reports/execution_command_logs/0064_audit_cvpr_final.stdout.log,reports/execution_command_logs/0064_audit_cvpr_final.stderr.log,FAIL,,,
65,audit_final_pre_run_final,python3 -m certgen audit final-pre-run --json,.,2026-07-21T09:36:40.396479Z,2026-07-21T09:36:41.471716Z,1.075119,2,reports/execution_command_logs/0065_audit_final_pre_run_final.stdout.log,reports/execution_command_logs/0065_audit_final_pre_run_final.stderr.log,FAIL,,,
66,audit_maximum_ceiling_final,python3 -m certgen audit maximum-ceiling --json,.,2026-07-21T09:36:41.543320Z,2026-07-21T09:36:42.971648Z,1.428205,0,reports/execution_command_logs/0066_audit_maximum_ceiling_final.stdout.log,reports/execution_command_logs/0066_audit_maximum_ceiling_final.stderr.log,PASS,,,
