scenario,model_count,replicate_id,number_of_comparisons,resolved_edges,unresolved_edges,incorrect_edges,graph_density,transitive_reduction_edges,transitive_reduction_correct,cycles,connected_components,FWER_event,samples_consumed,sample_cost_units,cost_per_certified_edge,CPU_seconds,memory_peak_platform_units,pairwise_matrix_materialized,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
mixed_easy_hard_edges,5,1,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.0001622500130906701,46284800,False,True,True,True,False
mixed_easy_hard_edges,10,0,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0006242500094231218,46284800,False,True,True,True,False
mixed_easy_hard_edges,10,1,45,1,44,0,0.022222222222222223,1,True,0,9,False,5744,5744.0,5744.0,0.0006261249945964664,46284800,False,True,True,True,False
mixed_easy_hard_edges,20,0,190,32,158,0,0.16842105263157894,32,True,0,2,False,22928,22928.0,716.5,0.002560875000199303,46284800,False,True,True,True,False
mixed_easy_hard_edges,20,1,190,31,159,0,0.1631578947368421,31,True,0,2,False,22992,22992.0,741.6774193548387,0.002649541012942791,46301184,False,True,True,True,False
mixed_easy_hard_edges,50,0,1225,414,811,0,0.3379591836734694,186,True,0,2,False,129872,129872.0,313.7004830917874,0.016989999974612147,46301184,False,True,True,True,False
mixed_easy_hard_edges,50,1,1225,415,810,0,0.33877551020408164,181,True,0,2,False,130016,130016.0,313.2915662650602,0.01684745802776888,46301184,False,True,True,True,False
mixed_easy_hard_edges,100,0,4950,2054,2896,0,0.41494949494949496,443,True,0,2,False,486896,486896.0,237.047711781889,0.07308741702581756,46301184,False,True,True,True,False
mixed_easy_hard_edges,100,1,4950,2042,2908,0,0.4125252525252525,451,True,0,2,False,486912,486912.0,238.44857982370226,0.07391824998194352,46301184,False,True,True,True,False
difficult_covariance,2,0,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,0.00010375000420026481,46301184,False,True,True,True,False
difficult_covariance,2,1,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,4.429102409631014e-05,46301184,False,True,True,True,False
difficult_covariance,5,0,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.0001718329731374979,46301184,False,True,True,True,False
difficult_covariance,5,1,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00016158301150426269,46301184,False,True,True,True,False
difficult_covariance,10,0,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.000627999979769811,46301184,False,True,True,True,False
difficult_covariance,10,1,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0006229999999050051,46301184,False,True,True,True,False
difficult_covariance,20,0,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.002515500003937632,46301184,False,True,True,True,False
difficult_covariance,20,1,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.0024999160086736083,46301184,False,True,True,True,False
difficult_covariance,50,0,1225,366,859,0,0.2987755102040816,354,True,0,1,False,142320,142320.0,388.8524590163934,0.016818000003695488,46301184,False,True,True,True,False
difficult_covariance,50,1,1225,366,859,0,0.2987755102040816,346,True,0,1,False,142320,142320.0,388.8524590163934,0.01669662501080893,46301184,False,True,True,True,False
difficult_covariance,100,0,4950,2910,2040,0,0.5878787878787879,1468,True,0,1,False,461136,461136.0,158.4659793814433,0.07987962497281842,46301184,False,True,True,True,False
difficult_covariance,100,1,4950,2896,2054,0,0.585050505050505,1463,True,0,1,False,461776,461776.0,159.45303867403314,0.08081583399325609,46301184,False,True,True,True,False
